player,goals,assists,rating,minutes,match_id,date,performed,surname,
james trafford,0,0,7.5,90,1035037,11-08-2023,1,trafford,
connor roberts,0,0,6.5,90,1035037,11-08-2023,0,roberts,
ameen al-dakhil,0,0,6.3,90,1035037,11-08-2023,0,al-dakhil,
dara o'shea,0,0,6.5,90,1035037,11-08-2023,0,o'shea,
jordan beyer,0,0,6.9,74,1035037,11-08-2023,0,beyer,
vitinho,0,0,6.2,90,1035037,11-08-2023,0,vitinho,
luca koleosho,0,0,6.5,61,1035037,11-08-2023,0,koleosho,
sander berge,0,0,6.5,89,1035037,11-08-2023,0,berge,
josh cullen,0,0,6.3,90,1035037,11-08-2023,0,cullen,
lyle foster,0,0,6.5,89,1035037,11-08-2023,0,foster,
zeki amdouni,0,0,6.9,61,1035037,11-08-2023,0,amdouni,
anass zaroury,0,0,6.3,33,1035037,11-08-2023,0,zaroury,
jacob bruun larsen,0,0,6.6,29,1035037,11-08-2023,0,larsen,
manuel benson,0,0,5.9,16,1035037,11-08-2023,0,benson,
josh brownhill,0,0,6.3,8,1035037,11-08-2023,0,brownhill,
nathan redmond,0,0,6.3,8,1035037,11-08-2023,0,redmond,
arijanet murić,0,0,0,0,1035037,11-08-2023,0,murić,
hjalmar ekdal,0,0,0,0,1035037,11-08-2023,0,ekdal,
jack cork,0,0,0,0,1035037,11-08-2023,0,cork,
jóhann guðmundsson,0,0,0,0,1035037,11-08-2023,0,guðmundsson,
ederson,0,0,7.5,90,1035037,11-08-2023,1,ederson,
kyle walker,0,0,6.9,89,1035037,11-08-2023,0,walker,
manuel akanji,0,0,7.2,90,1035037,11-08-2023,1,akanji,
nathan aké,0,0,7.5,79,1035037,11-08-2023,1,aké,
rico lewis,0,0,6.7,79,1035037,11-08-2023,0,lewis,
kevin de bruyne,0,0,6.9,23,1035037,11-08-2023,0,bruyne,
rodri,1,1,9.3,90,1035037,11-08-2023,1,rodri,
bernardo silva,0,0,6.6,90,1035037,11-08-2023,0,silva,
julián álvarez,0,1,8.2,90,1035037,11-08-2023,1,álvarez,
phil foden,0,0,6.9,90,1035037,11-08-2023,0,foden,
erling haaland,2,0,8.6,80,1035037,11-08-2023,1,haaland,
mateo kovačić,0,0,7.7,67,1035037,11-08-2023,1,kovačić,
joško gvardiol,0,0,7,11,1035037,11-08-2023,1,gvardiol,
aymeric laporte,0,0,7,11,1035037,11-08-2023,1,laporte,
cole palmer,0,0,6.3,10,1035037,11-08-2023,0,palmer,
james mcatee,0,0,0,1,1035037,11-08-2023,0,mcatee,
stefan ortega,0,0,0,0,1035037,11-08-2023,0,ortega,
kalvin phillips,0,0,0,0,1035037,11-08-2023,0,phillips,
sergio gómez,0,0,0,0,1035037,11-08-2023,0,gómez,
jack grealish,0,0,0,0,1035037,11-08-2023,0,grealish,
aaron ramsdale,0,0,6.7,90,1035038,12-08-2023,0,ramsdale,
thomas partey,0,0,7.3,90,1035038,12-08-2023,1,partey,
benjamin white,0,0,6.6,90,1035038,12-08-2023,0,white,
william saliba,0,1,7.3,90,1035038,12-08-2023,1,saliba,
jurriën timber,0,0,6.6,50,1035038,12-08-2023,0,timber,
martin ødegaard,0,0,7.2,90,1035038,12-08-2023,1,ødegaard,
declan rice,0,0,7.3,90,1035038,12-08-2023,1,rice,
kai havertz,0,0,7.3,90,1035038,12-08-2023,1,havertz,
bukayo saka,1,0,8.3,90,1035038,12-08-2023,1,saka,
edward nketiah,1,0,7.3,73,1035038,12-08-2023,1,nketiah,
gabriel martinelli,0,1,7.2,86,1035038,12-08-2023,1,martinelli,
takehiro tomiyasu,0,0,6.9,40,1035038,12-08-2023,0,tomiyasu,
leandro trossard,0,0,6.9,17,1035038,12-08-2023,0,trossard,
gabriel magalhães,0,0,6.3,13,1035038,12-08-2023,0,magalhães,
karl hein,0,0,0,0,1035038,12-08-2023,0,hein,
jakub kiwior,0,0,0,0,1035038,12-08-2023,0,kiwior,
emile smith rowe,0,0,0,0,1035038,12-08-2023,0,rowe,
fábio vieira,0,0,0,0,1035038,12-08-2023,0,vieira,
jorginho,0,0,0,0,1035038,12-08-2023,0,jorginho,
reiss nelson,0,0,0,0,1035038,12-08-2023,0,nelson,
