date,Zodiac,performed
2026-02-24,Pisces,1
2026-02-24,Pisces,1
2026-02-24,Pisces,1
2026-02-24,Pisces,1
2026-02-24,Aries,1
2026-02-24,Cancer,1
2026-02-24,Aries,1
2026-02-24,Capricorn,1
2026-02-25,Capricorn,1
2026-02-25,Capricorn,1
2026-02-25,Leo,1
2026-02-25,Aquarius,1
2026-02-25,Taurus,1
2026-03-02,Scorpio,1
2026-03-02,Scorpio,1
2026-03-02,Scorpio,1
2026-03-02,Scorpio,1
2026-03-03,Libra,1
2026-03-03,Scorpio,1
2026-03-03,Leo,1
2026-03-03,Libra,1
2026-03-03,Scorpio,1
2026-03-03,Leo,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Scorpio,1
2026-03-03,Libra,1
2026-03-03,Scorpio,1
2026-03-03,Leo,1
2026-03-03,Libra,1
2026-03-03,Scorpio,1
2026-03-03,Leo,1
