player_id,player_name,player_name_api,status,birth_date
617,Ederson,Ederson,matched,1993-08-17
636,Bernardo Silva,Bernardo Silva,matched,1994-08-10
723,Joelinton,Joelinton,matched,1996-08-14
1145,Ibrahima Konaté,I. Konaté,matched,1999-05-25
1165,Matheus Cunha,Matheus Cunha,matched,1999-05-27
2489,Luis Díaz,L. Díaz,matched,1997-01-13
2887,Raúl Jiménez,R. Jiménez,matched,1991-05-05
18744,Max Kilman,M. Kilman,matched,1997-05-23
18869,Adam Smith,A. Smith,matched,1991-04-29
18872,Lewis Cook,L. Cook,matched,1997-02-03
18931,Chris Wood,C. Wood,matched,1991-12-07
19128,Jack Harrison,J. Harrison,matched,1996-11-20
19495,Nathan Collins,N. Collins,matched,2001-04-30
19599,Emiliano Martínez,E. Martínez,matched,1992-09-02
22224,Gabriel Magalhães,Gabriel Magalhães,matched,1997-12-19
46815,Pau Torres,Pau Torres,matched,1997-01-16
152856,Evanilson,Evanilson,matched,1999-10-06
153066,Fabio Carvalho,Fábio Carvalho,matched,2002-08-30
195103,João Gomes,João Gomes,matched,2001-02-12
363695,Murillo,Murillo,matched,2002-07-04
