player_id,birth_date,zodiac,dob_source,dob_verified
5,1995-07-19,Cancer,API-Football,False
18,2000-03-25,Aries,API-Football,False
44,1996-06-22,Cancer,API-Football,False
49,1993-06-13,Gemini,API-Football,False
95,2001-03-26,Aries,API-Football,False
104,,,,False
130,1993-11-16,Scorpio,API-Football,False
131,1999-11-17,Scorpio,API-Football,False
138,1999-12-30,Capricorn,API-Football,False
164,1993-04-24,Taurus,API-Football,False
169,1990-09-19,Virgo,API-Football,False
171,1997-04-13,Aries,API-Football,False
174,1992-02-14,Aquarius,API-Football,False
180,2000-09-16,Virgo,API-Football,False
182,1996-02-02,Aquarius,API-Football,False
186,1992-07-08,Cancer,API-Football,False
247,1999-05-07,Taurus,API-Football,False
253,1993-02-27,Pisces,API-Football,False
269,1997-11-14,Scorpio,API-Football,False
280,1992-10-02,Libra,API-Football,False
281,1998-11-23,Sagittarius,API-Football,False
283,1998-10-07,Libra,API-Football,False
284,1997-05-23,Gemini,API-Football,False
289,1994-03-11,Pisces,API-Football,False
290,1991-07-08,Cancer,API-Football,False
293,2001-01-30,Aquarius,API-Football,False
295,1988-05-10,Taurus,API-Football,False
296,1986-01-04,Capricorn,API-Football,False
306,1992-06-15,Gemini,API-Football,False
526,1996-04-02,Aries,API-Football,False
532,1999-08-12,Leo,API-Football,False
537,1992-01-15,Capricorn,API-Football,False
542,2002-05-16,Taurus,API-Football,False
545,1997-11-14,Scorpio,API-Football,False
557,1994-04-26,Taurus,API-Football,False
567,1997-05-14,Taurus,API-Football,False
583,1999-11-10,Scorpio,API-Football,False
616,1998-11-07,Scorpio,API-Football,False
617,1993-08-17,Leo,API-Football-ID,True
626,1994-05-28,Gemini,Wikidata:Q2025900,False
627,,,,False
629,1991-06-28,Cancer,Wikidata:Q357984,False
631,2000-05-28,Gemini,Wikidata:Q30729096,False
633,1990-10-24,Scorpio,Wikidata:Q161089,False
636,1994-08-10,Leo,API-Football-ID,True
641,1996-12-15,Sagittarius,Wikidata:Q19636859,False
643,1997-04-03,Aries,Wikidata:Q19708656,False
645,1994-12-08,Sagittarius,Wikidata:Q312157,False
657,1995-10-09,Libra,Wikidata:Q14495103,False
665,1996-09-27,Libra,Wikidata:Q15081929,False
723,1996-08-14,Leo,API-Football-ID,True
727,1999-12-10,Sagittarius,Wikidata:Q35039261,False
739,,,,False
747,,,,False
766,1990-01-08,Capricorn,Wikidata:Q6799321,False
792,1999-05-05,Taurus,Wikidata:Q26934107,False
863,1997-06-25,Cancer,Wikidata:Q18817134,False
879,1998-05-31,Gemini,Wikidata:Q28748037,False
886,1999-03-18,Pisces,Wikidata:Q26255506,False
889,1994-07-17,Cancer,Wikidata:Q4125587,False
891,,,,False
894,1985-07-09,Cancer,Wikidata:Q10602,False
895,,,,False
899,1996-01-01,Capricorn,Wikidata:Q17619350,False
903,1996-12-08,Sagittarius,Wikidata:Q29624459,False
909,1997-10-31,Scorpio,Wikidata:Q22951255,False
912,,,,False
925,1996-11-29,Sagittarius,Wikidata:Q16729477,False
930,1997-01-02,Capricorn,Wikidata:Q26707913,False
978,1999-06-11,Gemini,Wikidata:Q27310755,False
983,1997-08-09,Leo,Wikidata:Q20890178,False
1096,2000-10-25,Scorpio,Wikidata:Q30134278,False
1098,1998-10-09,Libra,Wikidata:Q20810726,False
1100,2000-07-21,Cancer,Wikidata:Q28967995,False
1117,,,,False
1119,1998-04-17,Aries,Wikidata:Q18157457,False
1125,1995-02-22,Pisces,Wikidata:Q16236700,False
1135,1998-01-16,Capricorn,Wikidata:Q19963405,False
1145,1999-05-25,Gemini,API-Football-ID,True
1150,1999-02-14,Aquarius,Wikidata:Q19871581,False
1161,2000-07-28,Leo,Wikidata:Q55820249,False
1165,1999-05-27,Gemini,API-Football-ID,True
1166,1996-03-06,Pisces,Wikidata:Q3529022,False
1231,1992-08-22,Leo,Wikidata:Q15113326,False
1243,1995-02-27,Pisces,Wikidata:Q20860081,False
1361,1999-10-07,Libra,Wikidata:Q26719541,False
1422,2002-05-27,Gemini,Wikidata:Q59209505,False
1438,1992-03-04,Pisces,Wikidata:Q309966,False
1440,1995-09-20,Virgo,Wikidata:Q21061767,False
1445,1997-12-11,Sagittarius,Wikidata:Q47015833,False
1455,1996-05-03,Taurus,Wikidata:Q21091691,False
1460,2001-09-05,Virgo,Wikidata:Q59306386,False
1463,1999-08-20,Leo,Wikidata:Q40471152,False
1468,,,,False
1469,1990-11-26,Sagittarius,Wikidata:Q188457,False
1485,,,,False
1590,1993-01-17,Capricorn,Wikidata:Q6294052,False
1600,,,,False
1605,1995-10-21,Libra,Wikidata:Q5218462,False
1646,1997-08-27,Virgo,Wikidata:Q30089624,False
1736,1991-01-14,Capricorn,Wikidata:Q7983684,False
1864,2000-03-09,Pisces,Wikidata:Q30036972,False
1904,1999-11-23,Sagittarius,Wikidata:Q29962926,False
1934,1998-02-14,Aquarius,Wikidata:Q20675980,False
1946,1994-12-04,Sagittarius,Wikidata:Q6509762,False
2032,2000-02-06,Aquarius,Wikidata:Q28933132,False
2056,1992-05-11,Taurus,Wikidata:Q510165,False
2165,1999-05-29,Gemini,Wikidata:Q37875995,False
2218,1998-02-25,Pisces,Wikidata:Q26924482,False
2273,1994-10-03,Libra,Wikidata:Q3195361,False
2284,1994-08-03,Leo,Wikidata:Q5370912,False
2287,1993-12-05,Sagittarius,Wikidata:Q326240,False
2289,,,,False
2291,1994-05-06,Taurus,Wikidata:Q701297,False
2298,2000-11-07,Scorpio,Wikidata:Q42396622,False
2413,,,,False
2467,1998-01-18,Capricorn,Wikidata:Q30881092,False
2476,1994-04-12,Aries,Wikidata:Q18224850,False
2489,1997-01-13,Capricorn,API-Football-ID,True
2490,1994-10-25,Scorpio,Wikidata:Q16300824,False
2507,1994-02-10,Aquarius,Wikidata:Q16145667,False
2597,1998-11-05,Scorpio,Wikidata:Q21286402,False
2601,1996-08-05,Leo,Wikidata:Q20039495,False
2678,1996-12-04,Sagittarius,Wikidata:Q19518278,False
2724,1993-07-20,Cancer,Wikidata:Q72648,False
2729,1996-05-31,Gemini,Wikidata:Q15943423,False
