player_id,player_name,teams,positions,first_seen,last_seen,appearances,starts,birth_date,zodiac,dob_source,dob_verified
18813,Aaron Cresswell,West Ham,D,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,4,0,,,,False
20355,Aaron Ramsdale,Arsenal | Southampton,G,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,8,8,,,,False
18846,Aaron Wan-Bissaka,West Ham,D | M,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,9,8,,,,False
18805,Abdoulaye Doucouré,Everton,M,2024-08-17 14:00:00+00:00,2024-10-26 16:30:00+00:00,8,7,,,,False
303467,Abdul Fatawu Issahaku,Leicester,F | M,2024-08-19 19:00:00+00:00,2024-11-02 15:00:00+00:00,10,5,,,,False
19484,Adam Armstrong,Southampton,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,7,4,,,,False
295,Adam Lallana,Southampton,M,2024-08-31 14:00:00+00:00,2024-11-02 15:00:00+00:00,6,3,,,,False
18869,Adam Smith,Bournemouth,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,5,,,,False
19265,Adam Webster,Brighton,D,2024-08-17 14:00:00+00:00,2024-10-06 15:30:00+00:00,3,2,,,,False
288102,Adam Wharton,Crystal Palace,M,2024-08-18 13:00:00+00:00,2024-10-27 13:00:00+00:00,8,8,,,,False
18753,Adama Traoré,Fulham,F | M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,9,9,,,,False
284324,Alejandro Garnacho,Manchester United,F | M,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,6,,,,False
1455,Alex Iwobi,Fulham,D | F | M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,9,9,,,,False
18935,Alex McCarthy,Southampton,G,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,2,2,,,,False
318056,Alex Murphy,Newcastle,D,2024-08-25 13:00:00+00:00,2024-11-02 12:30:00+00:00,0,0,,,,False
304853,Alex Scott,Bournemouth,M,2024-08-17 14:00:00+00:00,2024-10-19 16:30:00+00:00,8,2,,,,False
2864,Alexander Isak,Newcastle,F,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,8,8,,,,False
6716,Alexis Mac Allister,Liverpool,M,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,10,9,,,,False
273757,Alfie Devine,Tottenham,M,2024-09-01 12:30:00+00:00,2024-09-01 12:30:00+00:00,0,0,,,,False
283272,Alfie Pond,Wolves,D,2024-09-28 16:30:00+00:00,2024-11-02 17:30:00+00:00,0,0,,,,False
299813,Ali Al-Hamadi,Ipswich,F,2024-08-17 11:30:00+00:00,2024-10-26 14:00:00+00:00,3,0,,,,False
280,Alisson,Liverpool,G,2024-08-17 11:30:00+00:00,2024-10-05 11:30:00+00:00,6,6,,,,False
253,Alphonse Aréola,West Ham,G,2024-08-17 16:30:00+00:00,2024-10-27 13:00:00+00:00,8,8,,,,False
50132,Altay Bayındır,Manchester United,G,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
157997,Amad Diallo,Manchester United,F | M,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,7,4,,,,False
162714,Amadou Onana,Aston Villa,M,2024-08-17 16:30:00+00:00,2024-10-26 14:00:00+00:00,8,8,,,,False
899,Andreas Pereira,Fulham,M,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,9,9,,,,False
147835,Andrew Omobamidele,Nottingham Forest,D,2024-08-17 14:00:00+00:00,2024-10-21 19:00:00+00:00,0,0,,,,False
289,Andrew Robertson,Liverpool,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,9,8,,,,False
265784,André,Wolves,M,2024-08-31 14:00:00+00:00,2024-11-02 17:30:00+00:00,7,5,,,,False
526,André Onana,Manchester United,G,2024-08-16 19:00:00+00:00,2024-10-27 13:00:00+00:00,9,9,,,,False
68466,Andy Irving,West Ham,M,2024-08-17 16:30:00+00:00,2024-11-02 15:00:00+00:00,3,0,,,,False
153430,Anthony Elanga,Nottingham Forest,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,7,,,,False
138787,Anthony Gordon,Newcastle,F,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,9,9,,,,False
19281,Antoine Semenyo,Bournemouth,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,10,10,,,,False
19549,Antonee Robinson,Fulham,D,2024-08-16 19:00:00+00:00,2024-10-26 16:30:00+00:00,9,9,,,,False
9971,Antony,Manchester United,F,2024-08-16 19:00:00+00:00,2024-10-19 14:00:00+00:00,2,0,,,,False
328089,Archie Gray,Tottenham,M,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,4,0,,,,False
616,Arijanet Murić,Ipswich,G,2024-08-24 14:00:00+00:00,2024-11-02 15:00:00+00:00,9,9,,,,False
367634,Asher Agbinone,Crystal Palace,M,2024-09-01 12:30:00+00:00,2024-11-02 17:30:00+00:00,1,0,,,,False
894,Ashley Young,Everton,D,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,8,8,,,,False
18858,Asmir Begović,Everton,G,2024-09-21 14:00:00+00:00,2024-11-02 15:00:00+00:00,0,0,,,,False
21998,Axel Disasi,Chelsea,D,2024-09-01 12:30:00+00:00,2024-10-20 15:30:00+00:00,2,1,,,,False
19182,Axel Tuanzebe,Ipswich,D,2024-08-17 11:30:00+00:00,2024-09-29 13:00:00+00:00,6,6,,,,False
402329,Ayden Heaven,Arsenal,D,2024-09-15 13:00:00+00:00,2024-09-15 13:00:00+00:00,0,0,,,,False
129058,Bart Verbruggen,Brighton,G,2024-08-31 11:30:00+00:00,2024-11-02 15:00:00+00:00,8,8,,,,False
19485,Ben Brereton Díaz,Southampton,F | M,2024-08-17 14:00:00+00:00,2024-11-02 15:00:00+00:00,6,4,,,,False
164,Ben Davies,Tottenham,D,2024-08-19 19:00:00+00:00,2024-10-27 13:00:00+00:00,0,0,,,,False
18823,Ben Johnson,Ipswich,D,2024-08-17 11:30:00+00:00,2024-11-02 15:00:00+00:00,5,3,,,,False
18917,Ben Mee,Brentford,D,2024-08-18 13:00:00+00:00,2024-10-26 14:00:00+00:00,1,0,,,,False
19959,Ben White,Arsenal,D,2024-08-17 14:00:00+00:00,2024-11-02 12:30:00+00:00,8,6,,,,False
278118,Benjamin Nelson,Leicester,D,2024-08-19 19:00:00+00:00,2024-08-19 19:00:00+00:00,0,0,,,,False
95,Benoît Badiashile,Chelsea,D,2024-08-18 15:30:00+00:00,2024-10-20 15:30:00+00:00,1,0,,,,False
