player_id,player_name,status,wikidata_id,wikidata_label,birth_date,candidate_count,qid,candidate_label,similarity
617,Ederson,single_name_manual_review,,,,1.0,,,
626,John Stones,matched,Q2025900,John Stones,1994-05-28,1.0,,,
627,Kyle Walker,ambiguous_candidates,,,,,,,
629,Kevin De Bruyne,matched,Q357984,Kevin De Bruyne,1991-06-28,1.0,,,
631,Phil Foden,matched,Q30729096,Phil Foden,2000-05-28,1.0,,,
633,İlkay Gündoğan,matched,Q161089,İlkay Gündoğan,1990-10-24,1.0,,,
636,Bernardo Silva,ambiguous_candidates,,,,2.0,,,
641,Oleksandr Zinchenko,matched,Q19636859,Oleksandr Zinchenko,1996-12-15,1.0,,,
643,Gabriel Jesus,matched,Q19708656,Gabriel Jesus,1997-04-03,1.0,,,
645,Raheem Sterling,matched,Q312157,Raheem Sterling,1994-12-08,1.0,,,
657,Kenny Tete,matched,Q14495103,Kenny Tete,1995-10-09,1.0,,,
665,Maxwel Cornet,matched,Q15081929,Maxwel Cornet,1996-09-27,1.0,,,
723,Joelinton,single_name_manual_review,,,,1.0,,,
727,Reiss Nelson,matched,Q35039261,Reiss Nelson,1999-12-10,1.0,,,
739,Sergio Reguilón,matched,,,1996-12-16,,Q24258610,Sergio Reguilón,100.0
747,Casemiro,single_name_manual_review,,,,,,,
766,Robin Olsen,matched,Q6799321,Robin Olsen,1990-01-08,1.0,,,
792,Justin Kluivert,matched,Q26934107,Justin Kluivert,1999-05-05,1.0,,,
863,Rodrigo Bentancur,matched,Q18817134,Rodrigo Bentancur,1997-06-25,1.0,,,
879,Stephy Mavididi,matched,Q28748037,Stephy Mavididi,1998-05-31,1.0,,,
886,Diogo Dalot,matched,Q26255506,Diogo Dalot,1999-03-18,1.0,,,
889,Victor Lindelöf,matched,Q4125587,Victor Lindelöf,1994-07-17,1.0,,,
891,Luke Shaw,matched,,,1995-07-12,,Q93563,Luke Shaw,100.0
894,Ashley Young,matched,Q10602,Ashley Young,1985-07-09,1.0,,,
895,James Garner,ambiguous_candidates,,,,,,,
899,Andreas Pereira,matched,Q17619350,Andreas Pereira,1996-01-01,1.0,,,
903,Scott McTominay,matched,Q29624459,Scott McTominay,1996-12-08,1.0,,,
909,Marcus Rashford,matched,Q22951255,Marcus Rashford,1997-10-31,1.0,,,
912,Neto,single_name_manual_review,,,,,,,
925,Gonçalo Guedes,matched,Q16729477,Gonçalo Guedes,1996-11-29,1.0,,,
930,Carlos Soler,matched,Q26707913,Carlos Soler,1997-01-02,1.0,,,
978,Kai Havertz,matched,Q27310755,Kai Havertz,1999-06-11,1.0,,,
983,Leon Bailey,matched,Q20890178,Leon Bailey,1997-08-09,1.0,,,
1096,Dominik Szoboszlai,matched,Q30134278,Dominik Szoboszlai,2000-10-25,1.0,,,
1098,Patson Daka,matched,,,1998-10-09,,Q20810726,Patson Daka,100.0
1100,Erling Haaland,matched,Q28967995,Erling Haaland,2000-07-21,1.0,,,
1117,Kieran Tierney,matched,,,1997-06-05,,Q19888012,Kieran Tierney,100.0
1119,Kristoffer Ajer,matched,Q18157457,Kristoffer Ajer,1998-04-17,1.0,,,
1125,Ryan Christie,matched,Q16236700,Ryan Christie,1995-02-22,1.0,,,
1135,Odsonne Édouard,matched,Q19963405,Odsonne Édouard,1998-01-16,1.0,,,
1145,Ibrahima Konaté,ambiguous_candidates,,,,2.0,,,
1150,Tyler Adams,matched,Q19871581,Tyler Adams,1999-02-14,1.0,,,
1161,Emile Smith Rowe,matched,Q55820249,Emile Smith Rowe,2000-07-28,1.0,,,
1165,Matheus Cunha,ambiguous_candidates,,,,2.0,,,
1166,Timo Werner,matched,Q3529022,Timo Werner,1996-03-06,1.0,,,
1231,Vladimír Coufal,matched,Q15113326,Vladimír Coufal,1992-08-22,1.0,,,
1243,Tomáš Souček,matched,Q20860081,Tomáš Souček,1995-02-27,1.0,,,
1361,Ferdi Kadıoğlu,matched,Q26719541,Ferdi Kadıoğlu,1999-10-07,1.0,,,
1422,Jérémy Doku,matched,Q59209505,Jérémy Doku,2002-05-27,1.0,,,
1438,Bernd Leno,matched,Q309966,Bernd Leno,1992-03-04,1.0,,,
1440,Rob Holding,matched,Q21061767,Rob Holding,1995-09-20,1.0,,,
1445,Konstantinos Mavropanos,matched,Q47015833,Konstantinos Mavropanos,1997-12-11,1.0,,,
1455,Alex Iwobi,matched,Q21091691,Alex Iwobi,1996-05-03,1.0,,,
1460,Bukayo Saka,matched,Q59306386,Bukayo Saka,2001-09-05,1.0,,,
1463,Joe Willock,matched,Q40471152,Joe Willock,1999-08-20,1.0,,,
1468,Edward Nketiah,no_confident_football_candidate,,,,,,,
1469,Danny Welbeck,matched,Q188457,Danny Welbeck,1990-11-26,1.0,,,
1485,Bruno Fernandes,ambiguous_candidates,,,,,,,
1590,José Sá,matched,Q6294052,José Sá,1993-01-17,1.0,,,
1600,Konstantinos Tsimikas,no_confident_football_candidate,,,,,,,
1605,Daniel Podence,matched,Q5218462,Daniel Podence,1995-10-21,1.0,,,
1646,Lucas Paquetá,matched,Q30089624,Lucas Paquetá,1997-08-27,1.0,,,
1736,Wesley Foderingham,matched,Q7983684,Wes Foderingham,1991-01-14,1.0,,,
1864,Pedro Neto,matched,Q30036972,Pedro Neto,2000-03-09,1.0,,,
1904,Boubacar Kamara,matched,Q29962926,Boubacar Kamara,1999-11-23,1.0,,,
1934,Sander Berge,matched,Q20675980,Sander Berge,1998-02-14,1.0,,,
1946,Leandro Trossard,matched,Q6509762,Leandro Trossard,1994-12-04,1.0,,,
2032,Jørgen Strand Larsen,matched,Q28933132,Jørgen Strand Larsen,2000-02-06,1.0,,,
