player,goals,assists,rating,minutes,match_id,date,performed,surname,birth_date,Zodiac
james trafford,0,0,7.5,90,1035037,2023-08-11,1,trafford,,
connor roberts,0,0,6.5,90,1035037,2023-08-11,0,roberts,,
ameen al-dakhil,0,0,6.3,90,1035037,2023-08-11,0,al-dakhil,,
dara o'shea,0,0,6.5,90,1035037,2023-08-11,0,o'shea,,
jordan beyer,0,0,6.9,74,1035037,2023-08-11,0,beyer,,
vitinho,0,0,6.2,90,1035037,2023-08-11,0,vitinho,,
luca koleosho,0,0,6.5,61,1035037,2023-08-11,0,koleosho,,
sander berge,0,0,6.5,89,1035037,2023-08-11,0,berge,,
josh cullen,0,0,6.3,90,1035037,2023-08-11,0,cullen,,
lyle foster,0,0,6.5,89,1035037,2023-08-11,0,foster,,
zeki amdouni,0,0,6.9,61,1035037,2023-08-11,0,amdouni,,
anass zaroury,0,0,6.3,33,1035037,2023-08-11,0,zaroury,,
jacob bruun larsen,0,0,6.6,29,1035037,2023-08-11,0,larsen,,
manuel benson,0,0,5.9,16,1035037,2023-08-11,0,benson,,
josh brownhill,0,0,6.3,8,1035037,2023-08-11,0,brownhill,,
nathan redmond,0,0,6.3,8,1035037,2023-08-11,0,redmond,,
arijanet murić,0,0,0.0,0,1035037,2023-08-11,0,murić,,
hjalmar ekdal,0,0,0.0,0,1035037,2023-08-11,0,ekdal,,
jack cork,0,0,0.0,0,1035037,2023-08-11,0,cork,,
jóhann guðmundsson,0,0,0.0,0,1035037,2023-08-11,0,guðmundsson,,
ederson,0,0,7.5,90,1035037,2023-08-11,1,ederson,,
kyle walker,0,0,6.9,89,1035037,2023-08-11,0,walker,,
manuel akanji,0,0,7.2,90,1035037,2023-08-11,1,akanji,,
nathan aké,0,0,7.5,79,1035037,2023-08-11,1,aké,,
rico lewis,0,0,6.7,79,1035037,2023-08-11,0,lewis,21-11-2004,Scorpio
kevin de bruyne,0,0,6.9,23,1035037,2023-08-11,0,bruyne,,
rodri,1,1,9.3,90,1035037,2023-08-11,1,rodri,22-06-1996,Cancer
bernardo silva,0,0,6.6,90,1035037,2023-08-11,0,silva,10-08-1994,Leo
julián álvarez,0,1,8.2,90,1035037,2023-08-11,1,álvarez,,
phil foden,0,0,6.9,90,1035037,2023-08-11,0,foden,28-05-2000,Gemini
erling haaland,2,0,8.6,80,1035037,2023-08-11,1,haaland,21-07-2000,Cancer
mateo kovačić,0,0,7.7,67,1035037,2023-08-11,1,kovačić,,
joško gvardiol,0,0,7.0,11,1035037,2023-08-11,1,gvardiol,,
aymeric laporte,0,0,7.0,11,1035037,2023-08-11,1,laporte,,
cole palmer,0,0,6.3,10,1035037,2023-08-11,0,palmer,06-05-2002,Taurus
james mcatee,0,0,0.0,1,1035037,2023-08-11,0,mcatee,,
stefan ortega,0,0,0.0,0,1035037,2023-08-11,0,ortega,,
kalvin phillips,0,0,0.0,0,1035037,2023-08-11,0,phillips,,
sergio gómez,0,0,0.0,0,1035037,2023-08-11,0,gómez,,
jack grealish,0,0,0.0,0,1035037,2023-08-11,0,grealish,,
aaron ramsdale,0,0,6.7,90,1035038,2023-08-12,0,ramsdale,,
thomas partey,0,0,7.3,90,1035038,2023-08-12,1,partey,13-06-1993,Gemini
benjamin white,0,0,6.6,90,1035038,2023-08-12,0,white,,
william saliba,0,1,7.3,90,1035038,2023-08-12,1,saliba,24-03-2001,Aries
jurriën timber,0,0,6.6,50,1035038,2023-08-12,0,timber,17-06-2001,Gemini
martin ødegaard,0,0,7.2,90,1035038,2023-08-12,1,ødegaard,,
declan rice,0,0,7.3,90,1035038,2023-08-12,1,rice,14-01-1999,Capricorn
kai havertz,0,0,7.3,90,1035038,2023-08-12,1,havertz,11-06-1999,Gemini
bukayo saka,1,0,8.3,90,1035038,2023-08-12,1,saka,,
edward nketiah,1,0,7.3,73,1035038,2023-08-12,1,nketiah,,
gabriel martinelli,0,1,7.2,86,1035038,2023-08-12,1,martinelli,18-06-2001,Gemini
takehiro tomiyasu,0,0,6.9,40,1035038,2023-08-12,0,tomiyasu,,
leandro trossard,0,0,6.9,17,1035038,2023-08-12,0,trossard,04-12-1994,Sagittarius
gabriel magalhães,0,0,6.3,13,1035038,2023-08-12,0,magalhães,19-12-1997,Sagittarius
karl hein,0,0,0.0,0,1035038,2023-08-12,0,hein,,
jakub kiwior,0,0,0.0,0,1035038,2023-08-12,0,kiwior,,
emile smith rowe,0,0,0.0,0,1035038,2023-08-12,0,rowe,,
fábio vieira,0,0,0.0,0,1035038,2023-08-12,0,vieira,,
jorginho,0,0,0.0,0,1035038,2023-08-12,0,jorginho,,
reiss nelson,0,0,0.0,0,1035038,2023-08-12,0,nelson,,
matt turner,0,0,7.3,90,1035038,2023-08-12,1,turner,,
willy boly,0,0,7.0,90,1035038,2023-08-12,1,boly,,
joe worrall,0,0,6.6,89,1035038,2023-08-12,0,worrall,,
scott mckenna,0,0,6.3,90,1035038,2023-08-12,0,mckenna,,
serge aurier,0,0,6.7,90,1035038,2023-08-12,0,aurier,,
ryan yates,0,0,6.3,90,1035038,2023-08-12,0,yates,21-11-1997,Scorpio
orel mangala,0,0,6.3,89,1035038,2023-08-12,0,mangala,,
ola aina,0,0,6.9,72,1035038,2023-08-12,0,aina,08-10-1996,Libra
danilo,0,0,6.9,71,1035038,2023-08-12,0,danilo,,
