player,goals,assists,rating,minutes,match_id,date,performed,surname,Unnamed: 9,moon_sign
james trafford,0,0,7.5,90,1035037,2023-08-11,1,trafford,,Gemini
connor roberts,0,0,6.5,90,1035037,2023-08-11,0,roberts,,Gemini
ameen al-dakhil,0,0,6.3,90,1035037,2023-08-11,0,al-dakhil,,Gemini
dara o'shea,0,0,6.5,90,1035037,2023-08-11,0,o'shea,,Gemini
jordan beyer,0,0,6.9,74,1035037,2023-08-11,0,beyer,,Gemini
vitinho,0,0,6.2,90,1035037,2023-08-11,0,vitinho,,Gemini
luca koleosho,0,0,6.5,61,1035037,2023-08-11,0,koleosho,,Gemini
sander berge,0,0,6.5,89,1035037,2023-08-11,0,berge,,Gemini
josh cullen,0,0,6.3,90,1035037,2023-08-11,0,cullen,,Gemini
lyle foster,0,0,6.5,89,1035037,2023-08-11,0,foster,,Gemini
zeki amdouni,0,0,6.9,61,1035037,2023-08-11,0,amdouni,,Gemini
anass zaroury,0,0,6.3,33,1035037,2023-08-11,0,zaroury,,Gemini
jacob bruun larsen,0,0,6.6,29,1035037,2023-08-11,0,larsen,,Gemini
manuel benson,0,0,5.9,16,1035037,2023-08-11,0,benson,,Gemini
josh brownhill,0,0,6.3,8,1035037,2023-08-11,0,brownhill,,Gemini
nathan redmond,0,0,6.3,8,1035037,2023-08-11,0,redmond,,Gemini
arijanet murić,0,0,0.0,0,1035037,2023-08-11,0,murić,,Gemini
hjalmar ekdal,0,0,0.0,0,1035037,2023-08-11,0,ekdal,,Gemini
jack cork,0,0,0.0,0,1035037,2023-08-11,0,cork,,Gemini
jóhann guðmundsson,0,0,0.0,0,1035037,2023-08-11,0,guðmundsson,,Gemini
ederson,0,0,7.5,90,1035037,2023-08-11,1,ederson,,Gemini
kyle walker,0,0,6.9,89,1035037,2023-08-11,0,walker,,Gemini
manuel akanji,0,0,7.2,90,1035037,2023-08-11,1,akanji,,Gemini
nathan aké,0,0,7.5,79,1035037,2023-08-11,1,aké,,Gemini
rico lewis,0,0,6.7,79,1035037,2023-08-11,0,lewis,,Gemini
kevin de bruyne,0,0,6.9,23,1035037,2023-08-11,0,bruyne,,Gemini
