player,goals,assists,rating,minutes,match_id,date,performed,Player,Team,DOB,Zodiac,Element,Ruling Planet,surname,birth_date
andré onana,0,0,7.2,90,1208021,2024-08-16,1,,,,Leo,,,onana,20-08-2001
noussair mazraoui,0,0,7.5,81,1208021,2024-08-16,1,,,,Scorpio,,,mazraoui,14-11-1997
harry maguire,0,0,7.3,81,1208021,2024-08-16,1,harry maguire,Man United,05-03-1999,Pisces,Water,Jupiter,maguire,05-03-1999
lisandro martínez,0,0,7.2,90,1208021,2024-08-16,1,lisandro martínez,Man United,18-01-1998,Capricorn,Earth,Saturn,martínez,18-01-1998
diogo dalot,0,0,7.3,90,1208021,2024-08-16,1,diogo dalot,Man United,18-03-1999,Pisces,Water,Jupiter,dalot,18-03-1999
casemiro,0,0,8.5,90,1208021,2024-08-16,1,casemiro,Man United,23-02-1992,Pisces,Water,Jupiter,casemiro,23-02-1992
kobbie mainoo,0,0,7.7,84,1208021,2024-08-16,1,kobbie mainoo,Man United,19-04-2005,Aries,Fire,Mars,mainoo,19-04-2005
amad diallo,0,0,7.2,61,1208021,2024-08-16,1,amad diallo,Man United,11-07-2002,Cancer,Water,Moon,diallo,11-07-2002
mason mount,0,0,6.5,61,1208021,2024-08-16,0,,,,,,,mount,
marcus rashford,0,0,6.6,90,1208021,2024-08-16,0,,,,,,,rashford,
bruno fernandes,0,0,6.6,90,1208021,2024-08-16,0,bruno fernandes,Man United,08-09-1994,Virgo,Earth,Mercury,fernandes,08-09-1994
alejandro garnacho,0,1,6.6,29,1208021,2024-08-16,1,,,,Cancer,,,garnacho,01-07-2004
joshua zirkzee,1,0,7.3,29,1208021,2024-08-16,1,,,,Gemini,,,zirkzee,22-05-2001
matthijs de ligt,0,0,6.3,9,1208021,2024-08-16,0,,,,Leo,,,ligt,12-08-1999
jonny evans,0,0,6.7,9,1208021,2024-08-16,0,,,,,,,evans,
scott mctominay,0,0,6.7,11,1208021,2024-08-16,0,,,,,,,mctominay,
altay bayındır,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,bayındır,
antony,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,antony,
toby collyer,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,collyer,
christian eriksen,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,eriksen,
bernd leno,0,0,6.9,90,1208021,2024-08-16,0,,,,,,,leno,
kenny tete,0,0,7.0,90,1208021,2024-08-16,1,,,,,,,tete,
issa diop,0,0,7.3,90,1208021,2024-08-16,1,,,,,,,diop,
calvin bassey,0,0,6.3,90,1208021,2024-08-16,0,,,,,,,bassey,
antonee robinson,0,0,7.2,90,1208021,2024-08-16,1,,,,,,,robinson,
andreas pereira,0,0,7.2,89,1208021,2024-08-16,1,,,,,,,pereira,
saša lukić,0,0,6.9,89,1208021,2024-08-16,0,,,,,,,lukić,
adama traoré,0,0,6.7,78,1208021,2024-08-16,0,,,,,,,traoré,
emile smith rowe,0,0,6.9,64,1208021,2024-08-16,0,,,,,,,rowe,
alex iwobi,0,0,6.3,90,1208021,2024-08-16,0,,,,,,,iwobi,
