Player,Team,DOB,Zodiac
Lammens,Man United,07-07-2002,Cancer
Diogo Dalot,Man United,18-03-1999,Pisces
Harry Maguire,Man United,05-03-1999,Pisces
Lisandro Martínez,Man United,18-01-1998,Capricorn
Luke Shaw,Man United,12-07-1995,Cancer
Casemiro,Man United,23-02-1992,Pisces
Kobbie Mainoo,Man United,19-04-2005,Aries
Amad Diallo,Man United,11-07-2002,Cancer
Bruno Fernandes,Man United,08-09-1994,Virgo
Matheus Cunha,Man United,27-05-1999,Gemini
Bryan Mbeumo,Man United,07-08-1999,Leo
Benjamin Sesko,Man United,31-05-2003,Gemini
Mazraoui,Man United,14-11-1997,Scorpio
Ugarte,Man United,11-04-2001,Aries
Viktor Gyökeres,Arsenal,04-06-1998,Gemini
Leandro Trossard,Arsenal,04-12-1994,Sagittarius
Kai Havertz,Arsenal,11-06-1999,Gemini
Noni Madueke,Arsenal,10-03-2002,Pisces
Declan Rice,Arsenal,14-01-1999,Capricorn
Martín Zubimendi,Arsenal,02-02-1999,Aquarius
Piero Hincapié,Arsenal,09-01-2002,Capricorn
Gabriel Magalhães,Arsenal,19-12-1997,Sagittarius
William Saliba,Arsenal,24-03-2001,Aries
Jurriën Timber,Arsenal,17-06-2001,Gemini
David Raya,Arsenal,15-09-1995,Virgo
Odegaard,Arsenal,17-12-1998,Sagittarius
 Gabriel Jesus,Arsenal,03-04-1997,Aries
Eze,Arsenal,29-06-1998,Cancer
Martinelli,Arsenal,18-06-2001,Gemini
Calafiori,Arsenal,19-05-2002,Taurus
Alisson Becker,Liverpool,02-10-1992,Libra
Dominik Szoboszlai,Liverpool,25-10-2000,Scorpio
Ibrahima Konaté,Liverpool,25-05-1999,Gemini
Virgil van Dijk,Liverpool,08-07-1991,Cancer
Milos Kerkez,Liverpool,07-11-2003,Scorpio
Ryan Gravenberch,Liverpool,16-05-2002,Taurus
Alexis Mac Allister,Liverpool,24-12-1998,Capricorn
Mohamed Salah,Liverpool,15-06-1992,Gemini
Florian Wirtz,Liverpool,03-05-2003,Taurus
Cody Gakpo,Liverpool,07-05-1999,Taurus
Hugo Ekitiké,Liverpool,20-06-2002,Gemini
Chiesa,Liverpool,25-10-1997,Scorpio
Endo,Liverpool,09-02-1993,Aquarius
Robert Sánchez,Chelsea,18-11-1997,Scorpio
Gusto,Chelsea,19-05-2003,Taurus
Chalobah,Chelsea,05-07-1999,Cancer
Badiashile,Chelsea,26-03-2001,Aries
Hato,Chelsea,07-03-2006,Pisces
Caicedo,Chelsea,02-11-2001,Scorpio
Gittens,Chelsea,08-08-2004,Leo
Palmer,Chelsea,06-05-2002,Taurus
 Enzo Fernández,Chelsea,17-01-2001,Capricorn
Garnacho,Chelsea,01-07-2004,Cancer
Delap,Chelsea,08-02-2003,Aquarius
Cucurella,Chelsea,22-07-1998,Cancer
Neto,Chelsea,09-03-2000,Pisces
Reece James,Chelsea,08-12-1999,Sagittarius
Wesley Fofana,Chelsea,17-12-2000,Sagittarius
Vicario,Spurs,07-10-1996,Libra
Palhinha,Spurs,09-07-1995,Cancer
Romero,Spurs,27-04-1998,Taurus
Dragusin,Spurs,03-02-2002,Aquarius
Gray,Spurs,12-03-2006,Pisces
Gallagher,Spurs,06-02-2000,Aquarius
Bissouma,Spurs,30-08-1996,Virgo
Udogie,Spurs,28-11-2002,Sagittarius
Kolo Muani,Spurs,05-12-1998,Sagittarius
Simons,Spurs,21-04-2003,Taurus
Solanke,Spurs,14-09-1997,Virgo
Tel,Spurs,27-04-2005,Taurus
Odobert,Spurs,28-11-2004,Sagittarius
Pape Sarr,Spurs,14-09-2002,Virgo
Semenyo,Man City,07-01-2000,Capricorn
Haaland,Man City,21-07-2000,Cancer
O’Reilly,Man City,21-03-2005,Aries
 Bernardo Silva,Man City,10-08-1994,Leo
Cherki,Man City,17-08-2003,Leo
Rodri,Man City,22-06-1996,Cancer
Aït-Nouri,Man City,06-06-2001,Gemini
Guéhi,Man City,13-07-2000,Cancer
Khusanov,Man City,29-02-2004,Pisces
Nunes,Man City,27-08-1998,Virgo
Donnarumma,Man City,25-02-1999,Pisces
Reijnders,Man City,29-07-1998,Leo
Marmoush,Man City,07-02-1999,Aquarius
Foden,Man City,28-05-2000,Gemini
Nico Gonzalez,Man City,03-01-2002,Capricorn
Rico Lewis,Man City,21-11-2004,Scorpio
Bruno Guimarães,Newcastle,16-11-1997,Scorpio
Tino Livramento,Newcastle,12-11-2002,Scorpio
Dan Burn,Newcastle,09-05-1992,Taurus
Sandro Tonali,Newcastle,08-05-2000,Taurus
Jacob Murphy,Newcastle,24-02-1995,Pisces
Fabian Schär,Newcastle,20-12-1991,Sagittarius
Anthony Gordon,Newcastle,24-02-2001,Pisces
Alexander Isak,Newcastle,21-09-1999,Virgo
Harvey Barnes,Newcastle,09-12-1997,Sagittarius
Joe Willock,Newcastle,20-08-1999,Leo
Joelinton,Newcastle,14-08-1996,Leo
Nick Pope,Newcastle,19-04-1992,Aries
Lewis Hall,Newcastle,08-09-2004,Virgo
Kieran Trippier,Newcastle,19-09-1990,Virgo
Ollie Watkins,Aston Villa,30-12-1995,Capricorn
Emiliano Martínez,Aston Villa,02-09-1992,Virgo
Morgan Rogers,Aston Villa,26-07-2002,Leo
Youri Tielemans,Aston Villa,07-05-1997,Taurus
Ezri Konsa,Aston Villa,23-10-1997,Scorpio
John McGinn,Aston Villa,18-10-1994,Libra
Lucas Digne,Aston Villa,20-07-1993,Cancer
Ian Maatsen,Aston Villa,10-03-2002,Pisces
Jacob Ramsey,Aston Villa,28-05-2001,Gemini
Matty Cash,Aston Villa,07-08-1997,Leo
Amadou Onana,Aston Villa,20-08-2001,Leo
Boubacar Kamara,Aston Villa,23-11-1999,Sagittarius
Pau Torres,Aston Villa,16-01-1997,Capricorn
Leon Bailey,Aston Villa,09-08-1997,Leo
Ross Barkley,Aston Villa,05-12-1993,Sagittarius
Matz Sels,Nottingham Forest,26-02-1992,Pisces
Nikola Milenkovi?,Nottingham Forest,12-10-1997,Libra
Murillo,Nottingham Forest,04-07-2002,Cancer
Chris Wood,Nottingham Forest,07-12-1991,Sagittarius
Ola Aina,Nottingham Forest,08-10-1996,Libra
Morgan Gibbs-White,Nottingham Forest,27-01-2000,Aquarius
Elliot Anderson,Nottingham Forest,06-11-2002,Scorpio
Anthony Elanga,Nottingham Forest,27-04-2002,Taurus
Neco Williams,Nottingham Forest,13-04-2001,Aries
Callum Hudson-Odoi,Nottingham Forest,07-11-2000,Scorpio
Nicolás Domínguez,Nottingham Forest,28-06-1998,Cancer
Ryan Yates,Nottingham Forest,21-11-1997,Scorpio
Bart Verbruggen,Brighton,18-08-2002,Leo
Kaoru Mitoma,Brighton,20-05-1997,Taurus
Carlos Baleba,Brighton,03-01-2004,Capricorn
Yasin Ayari,Brighton,06-10-2003,Libra
Jan Paul van Hecke,Brighton,08-06-2000,Gemini
Yankuba Minteh,Brighton,22-07-2004,Cancer
Danny Welbeck,Brighton,26-11-1990,Sagittarius
Pervis Estupiñán,Brighton,21-01-1998,Aquarius
Simon Adingra,Brighton,01-01-2002,Capricorn
Georginio Rutter,Brighton,20-04-2002,Taurus
João Pedro,Brighton,26-09-2001,Libra
Jack Hinshelwood,Brighton,11-04-2005,Aries
